t_s	C_rate	V_V	Control_mode
332.0439	1.249884615	4.288	1
333.044	1.249884615	4.288	1
334.044	1.249884615	4.2883	1
335.0441	1.249884615	4.2884	1
336.0442	1.249884615	4.2885	1
337.0442	1.249884615	4.2886	1
338.0443	1.249923077	4.2888	1
339.0443	1.249884615	4.289	1
340.0444	1.249884615	4.289	1
341.0444	1.249923077	4.2892	1
342.0445	1.249884615	4.2893	1
343.0446	1.249923077	4.2895	1
344.0446	1.249884615	4.2896	1
345.0447	1.249923077	4.2897	1
346.0437	1.249884615	4.2898	1
347.0438	1.249884615	4.2899	1
348.0438	1.249923077	4.2901	1
349.0439	1.249884615	4.2901	1
350.044	1.249923077	4.2903	1
351.044	1.249884615	4.2905	1
352.0441	1.249884615	4.2906	1
353.0441	1.249846154	4.2906	1
354.0442	1.249846154	4.2908	1
355.0443	1.249884615	4.291	1
356.0443	1.249846154	4.291	1
357.0444	1.249884615	4.2912	1
358.0444	1.249846154	4.2912	1
359.0445	1.249884615	4.2914	1
360.0445	1.249846154	4.2915	1
361.0446	1.249884615	4.2916	1
362.0447	1.249884615	4.2918	1
363.0437	1.249846154	4.2919	1
364.0438	1.249884615	4.292	1
365.0438	1.249846154	4.292	1
366.0439	1.249884615	4.2924	1
367.0439	1.249846154	4.2923	1
368.044	1.249884615	4.2924	1
369.0441	1.249846154	4.2926	1
370.0441	1.249846154	4.2927	1
371.0442	1.249846154	4.2928	1
372.0442	1.249846154	4.2929	1
373.0443	1.249846154	4.2931	1
374.0443	1.249846154	4.2931	1
375.0444	1.249846154	4.2932	1
376.0445	1.249846154	4.2934	1
377.0445	1.249846154	4.2935	1
378.0446	1.249846154	4.2936	1
379.0446	1.249846154	4.2937	1
380.0447	1.249846154	4.2939	1
381.0437	1.249846154	4.294	1
382.0438	1.249846154	4.2942	1
383.0439	1.249846154	4.2942	1
384.0439	1.249846154	4.2943	1
385.044	1.249846154	4.2946	1
386.044	1.249846154	4.2946	1
387.0441	1.249846154	4.2948	1
388.0441	1.249846154	4.2949	1
389.0442	1.249846154	4.2951	1
390.0443	1.249846154	4.2951	1
391.0443	1.249846154	4.2952	1
392.0444	1.249884615	4.2953	1
393.0444	1.249846154	4.2953	1
394.0445	1.249846154	4.2956	1
395.0445	1.249846154	4.2956	1
396.0446	1.249846154	4.2958	1
397.0447	1.249846154	4.2959	1
398.0437	1.249846154	4.2959	1
399.0438	1.249846154	4.2961	1
400.0438	1.249846154	4.2961	1
401.0439	1.249846154	4.2963	1
402.0439	1.249846154	4.2964	1
403.044	1.249884615	4.2965	1
404.0441	1.249846154	4.2965	1
405.0441	1.249846154	4.2966	1
406.0442	1.249884615	4.2968	1
407.0442	1.249846154	4.2969	1
408.0443	1.249846154	4.297	1
409.0443	1.249846154	4.297	1
410.0444	1.249846154	4.2972	1
411.0445	1.249846154	4.2973	1
412.0445	1.249846154	4.2973	1
413.0446	1.249846154	4.2975	1
414.0446	1.249846154	4.2975	1
415.0447	1.249846154	4.2977	1
416.0437	1.249846154	4.2978	1
417.0438	1.249846154	4.2979	1
418.0439	1.249807692	4.2979	1
419.0439	1.249807692	4.2981	1
420.044	1.249846154	4.2983	1
421.044	1.249807692	4.2983	1
422.0441	1.249846154	4.2984	1
423.0441	1.249807692	4.2984	1
424.0442	1.249846154	4.2987	1
425.0443	1.249807692	4.2987	1
426.0443	1.249807692	4.2988	1
427.0444	1.249846154	4.2989	1
428.0444	1.249807692	4.2991	1
429.0445	1.249846154	4.2992	1
430.0445	1.249807692	4.2991	1
431.0446	1.249846154	4.2993	1
432.0447	1.249807692	4.2994	1
433.0437	1.249884615	4.2995	1
434.0438	1.249846154	4.2997	1
435.0438	1.249807692	4.2998	1
436.0439	1.249846154	4.2999	1
437.0439	1.249846154	4.2999	1
438.044	1.249846154	4.3	1
439.0441	1.249807692	4.3001	1
440.0441	1.249846154	4.3002	1
441.0442	1.249846154	4.3004	1
442.0442	1.249846154	4.3004	1
